[12:51:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:11] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:18] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:22] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:38] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:52:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:53:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:53:23] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:53:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12:57:51] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:02:36] [INFO] received Windows console close event; shutting log-core down
[13:02:48] [INFO] received Windows console close event; shutting log-core down
[13:02:48] [INFO] received Windows console close event; shutting log-core down
[13:06:48] [INFO] received Windows console close event; shutting log-core down
[13:06:48] [INFO] received Windows console close event; shutting log-core down
[13:06:48] [INFO] received Windows console close event; shutting log-core down
[13:07:17] [INFO] received Windows console close event; shutting log-core down
[13:07:43] [INFO] received Windows console close event; shutting log-core down
[13:09:01] [INFO] received Windows console close event; shutting log-core down
[13:09:40] [INFO] received Windows console close event; shutting log-core down
[13:11:19] [INFO] received Windows console close event; shutting log-core down
[13:13:10] [INFO] received Windows console close event; shutting log-core down
[13:15:31] [INFO] received Windows console close event; shutting log-core down
[13:15:52] [INFO] received Windows console close event; shutting log-core down
[13:16:30] [INFO] received Windows console close event; shutting log-core down
[13:17:53] [INFO] received Windows console close event; shutting log-core down
[13:18:21] [INFO] received Windows console close event; shutting log-core down
[13:21:40] [INFO] received Windows console close event; shutting log-core down
[13:23:33] [INFO] received Windows console close event; shutting log-core down
[13:26:17] [INFO] received Windows console close event; shutting log-core down
[13:26:28] [INFO] received Windows console close event; shutting log-core down
[13:33:45] [INFO] received Windows console close event; shutting log-core down
[13:34:23] [INFO] received Windows console close event; shutting log-core down
[13:35:37] [INFO] received Windows console close event; shutting log-core down
[13:37:21] [INFO] received Windows console close event; shutting log-core down
[13:38:10] [INFO] received Windows console close event; shutting log-core down
[13:40:46] [INFO] received Windows console close event; shutting log-core down
[13:41:33] [INFO] received Windows console close event; shutting log-core down
[13:45:35] [INFO] received Windows console close event; shutting log-core down
[13:55:48] [INFO] received Windows console close event; shutting log-core down
[13:56:45] [INFO] received Windows console close event; shutting log-core down
[13:56:45] [INFO] received Windows console close event; shutting log-core down
[13:56:45] [INFO] received Windows console close event; shutting log-core down
[13:56:45] [INFO] received Windows console close event; shutting log-core down
[14:02:30] [INFO] received Windows console close event; shutting log-core down
[14:06:16] [INFO] received Windows console close event; shutting log-core down
[14:08:02] [INFO] received Windows console close event; shutting log-core down
[14:12:15] [INFO] received Windows console close event; shutting log-core down
[14:13:14] [INFO] received Windows console close event; shutting log-core down
[14:16:10] [INFO] received Windows console close event; shutting log-core down
[14:16:10] [INFO] received Windows console close event; shutting log-core down
[14:16:48] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
